"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gpal_D383_g00010",270.682025739796,0.510274253640549,0.173548613502072,2.94023814620943,0.00327960074280303,0.0285451172513441
"Gpal_D383_g00012",67.1200991851079,-1.84690826986459,0.327699601405533,-5.6359796043176,1.74065981472822e-08,6.57720744279449e-07
"Gpal_D383_g00036",716.061742788627,0.402889980273151,0.135405515841221,2.97543255730873,0.00292575675784831,0.026085258284861
"Gpal_D383_g00049",172.239670557219,1.02760893771285,0.249074695112173,4.12570589416984,3.69599350205473e-05,0.000682039731134983
"Gpal_D383_g00086",152.390413580909,0.646944186457192,0.224070325790234,2.88723722864953,0.00388641082858481,0.0319571709065497
"Gpal_D383_g00087",92.179068228475,1.1318723174466,0.316038211304231,3.58144134779011,0.000341703854993785,0.00459562727012828
"Gpal_D383_g00089",137.58945127047,-0.770260995228849,0.243499145387716,-3.16330061036718,0.00155991165785486,0.0158015731979723
"Gpal_D383_g00108",741.894442526842,0.960919871190857,0.148452246088856,6.47292241449618,9.61253178538144e-11,5.58112973539037e-09
"Gpal_D383_g00131",600.814462265183,-0.61565560137952,0.15288520234447,-4.02691425944787,5.65136285796411e-05,0.000985572841273521
"Gpal_D383_g00141",735.076233202919,-0.571552148973146,0.146277456386816,-3.90731533820041,9.33273184468878e-05,0.0014960651957092
"Gpal_D383_g00144",230.355875577383,-0.610332707498854,0.20056731784059,-3.04303170661107,0.00234207654675682,0.0221682434177122
"Gpal_D383_g00154",2250.2691036906,0.648695229517941,0.124703360822677,5.20190655038046,1.97254410614336e-07,6.05889192861197e-06
"Gpal_D383_g00186",2384.69496233757,-0.39039481291483,0.139661910535703,-2.7952847803484,0.00518540150539637,0.0391247172221745
"Gpal_D383_g00209",195.580980944445,-0.685918479873462,0.226546979612654,-3.0277096655459,0.00246414708384342,0.0230035377768207
"Gpal_D383_g00262",141.046565329618,-1.16402416971746,0.27736672956748,-4.19669717248572,2.70835679790326e-05,0.000515779468592697
"Gpal_D383_g00274",453.429793621652,0.755423290036089,0.190792656119371,3.95939395887153,7.51401985706865e-05,0.00124216140762166
"Gpal_D383_g00275",96.5288776305269,1.41202344524543,0.244145959894264,5.7835216517896,7.31527673582795e-09,2.92672542346864e-07
"Gpal_D383_g00307",164.540701495807,-0.769010451155251,0.223646283944088,-3.4385120896867,0.000584920418900831,0.0073284371431233
"Gpal_D383_g00311",101.412740061261,-0.802566200111295,0.242539836520943,-3.30900775568881,0.00093627243503463,0.0104393280168615
"Gpal_D383_g00331",39.2738992554712,-1.096983865378,0.387528154352003,-2.83072043426702,0.00464432958134189,0.0367303208251972
"Gpal_D383_g00365",48.2434582913759,0.9242702851895,0.330451178866343,2.79699497021113,0.00515803362571377,0.0390712565211727
"Gpal_D383_g00366",205.711506535679,0.893371145995946,0.267515180768173,3.3395156993731,0.000839246071400385,0.0096049291969645
"Gpal_D383_g00393",40.9762625372827,-1.43577791955159,0.441650786597824,-3.25093481800824,0.00115026226092481,0.0121697747205845
"Gpal_D383_g00395",167.670733750327,0.732611387928654,0.213514431385363,3.43120314245361,0.000600910423048921,0.0074117474718547
"Gpal_D383_g00428",35.6005678829555,-1.60357601518865,0.515712138062658,-3.10944012528521,0.00187442271049465,0.0184002608755979
"Gpal_D383_g00446",42.6183009824679,-3.69007251399992,0.539084112518173,-6.84507747179347,7.64344956107428e-12,5.86942957423785e-10
"Gpal_D383_g00463",18.5151916986888,-2.06125285066595,0.600589407235319,-3.43204995931325,0.000599037195273775,0.00740783399142452
"Gpal_D383_g00482",130.635202359354,-1.32316919190379,0.321858612104461,-4.11102621505852,3.9390446975093e-05,0.000721299684801607
"Gpal_D383_g00509",522.398457614793,0.580216349327659,0.189455816314664,3.06254176099819,0.00219465850244421,0.0210904964118753
"Gpal_D383_g00514",120.361928428445,2.157557871907,0.264374673721871,8.16098547388395,3.32302136451178e-16,6.08496335247715e-14
"Gpal_D383_g00516",159.335657060303,-0.730837731832919,0.210385831295143,-3.47379729582479,0.000513148537576237,0.00658517570727888
"Gpal_D383_g00520",83.8602803890165,-0.837891261949246,0.300616615784899,-2.78724201508803,0.00531587622836458,0.0397313763316229
"Gpal_D383_g00530",22.0878866291974,-1.52704112616991,0.55834291536199,-2.73495209512936,0.00623893550595586,0.0455576256807605
"Gpal_D383_g00533",1373.91822185573,0.434956910980137,0.109557071869461,3.97013997871718,7.1830418880062e-05,0.00120582340141099
"Gpal_D383_g00534",78.3667962596678,1.115184488976,0.394756044517996,2.82499661363682,0.00472811157290246,0.0370849080701624
"Gpal_D383_g00560",225.22557160094,-0.65490530615323,0.21451594336915,-3.05294467099928,0.00226607715743949,0.0216208283498385
"Gpal_D383_g00561",310.80341953499,-1.82858184825498,0.224991915100179,-8.1273224748578,4.38876692502557e-16,7.46247118930241e-14
"Gpal_D383_g00563",44.7540293862976,1.12710842359843,0.402855897716503,2.79779551444371,0.00514526755985404,0.0390712565211727
"Gpal_D383_g00580",63.5666166792063,-1.66924618963393,0.38815202307636,-4.30049591498728,1.70416313026017e-05,0.000345256198432709
"Gpal_D383_g00586",201.337833067161,-1.02224523965529,0.220015627160559,-4.64623923694884,3.38040957084985e-06,7.96739107268125e-05
"Gpal_D383_g00611",188.275331266238,-1.20191666298563,0.199023789743433,-6.03906027784445,1.55014333909707e-09,7.02879279756298e-08
"Gpal_D383_g00648",234.390399212142,-0.873890649280879,0.186551544458332,-4.68444606994969,2.80718064812568e-06,6.71607390237506e-05
