"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gpal_D383_g00012",91.0321378563241,1.17597244794967,0.345913679476526,3.39961244010147,0.000674814278359015,0.0177074781507644
"Gpal_D383_g00026",94.6673848797978,2.10086884184948,0.567383981922613,3.70272850271621,0.000213293103070302,0.00715568736758772
"Gpal_D383_g00036",766.414108501315,-0.49208523794381,0.129976032799153,-3.78596905403485,0.000153110729456154,0.00564639644276854
"Gpal_D383_g00049",178.297621318458,-1.09992701287778,0.293879799578128,-3.74277855931832,0.0001819966029497,0.00644202605663479
"Gpal_D383_g00110",171.010591453908,1.31182651172197,0.284646263330317,4.60862017429563,4.05350060265956e-06,0.00030597595955388
"Gpal_D383_g00120",1095.62424176595,-0.363190484468989,0.115073458211784,-3.15616207345193,0.00159860005603837,0.032212974528972
"Gpal_D383_g00121",2190.51366146122,-0.530386835997803,0.114936039628674,-4.61462599295517,3.93803822898385e-06,0.000304527588456969
"Gpal_D383_g00130",465.297152605711,-0.515363098463701,0.159631881818692,-3.22844717854697,0.00124464242356864,0.0270849889561267
"Gpal_D383_g00131",1022.86043374525,-0.710421257896633,0.126920622357063,-5.59736664305048,2.17632138481807e-08,3.89400318890967e-06
"Gpal_D383_g00229",878.549002666154,-0.843948188596686,0.127552043998965,-6.61650070149824,3.67801130013293e-11,1.11052953693389e-08
"Gpal_D383_g00257",69.2486091921235,1.7751522429428,0.543395766890909,3.26677598741614,0.00108779719516454,0.0246720575109855
"Gpal_D383_g00298",87.2227914417061,1.25540654311274,0.388294340972485,3.23313118591573,0.00122441322158784,0.0270097729383144
"Gpal_D383_g00340",42.7346387158598,3.98911292294952,0.722170191019849,5.52378507525504,3.31773276556641e-08,5.72184990677124e-06
"Gpal_D383_g00384",1728.91707714455,-0.33703289381304,0.0981761379900174,-3.4329410456878,0.000597071909472607,0.0162366467979655
"Gpal_D383_g00478",176.736103572273,-0.835913996610961,0.234683959336707,-3.56187103274347,0.000368221263470749,0.0111179807739199
"Gpal_D383_g00492",548.621173615114,-0.867460914786189,0.157384467490161,-5.5117314219106,3.55320838756235e-08,5.72184990677124e-06
"Gpal_D383_g00525",1170.85105172063,-0.481239088506292,0.124329093173301,-3.87068767432817,0.000108528767097183,0.00447145619221675
"Gpal_D383_g00546",22.5931427395685,2.55934877283392,0.823436368617649,3.1081318124562,0.00188274076034624,0.0363820824529307
"Gpal_D383_g00563",58.7582533467664,-1.72319088350612,0.423837291246723,-4.06568963867558,4.78906335981623e-05,0.00238515104033734
"Gpal_D383_g00580",77.9507521814617,1.57719261134477,0.39621872531626,3.9806109872416,6.87383612030478e-05,0.00322402934924198
"Gpal_D383_g00619",503.383434381615,-0.584449271374601,0.156219933715867,-3.7411952333663,0.000183147175842293,0.00644202605663479
"Gpal_D383_g00683",493.482208164584,-0.716879285223095,0.14232186540782,-5.03702845075064,4.72814525378088e-07,5.43849279071796e-05
"Gpal_D383_g00725",1203.72906047627,-0.782514459485476,0.107149887485236,-7.30298909173657,2.81444008468188e-13,2.71931200981963e-10
"Gpal_D383_g00754",1809.08256702745,-0.47765035930073,0.120066521459029,-3.9782143556455,6.9434761337511e-05,0.00322537819251457
"Gpal_D383_g00772",6332.59568613517,-0.440707295782029,0.103443414326155,-4.26037074136484,2.0408808533379e-05,0.00121722165462659
"Gpal_D383_g00779",4128.00873825423,-0.465937085814303,0.0897085246447044,-5.19389977328992,2.05934036118495e-07,2.68883061753635e-05
"Gpal_D383_g00803",577.87870464849,-0.737565728406054,0.152000403410698,-4.85239322959679,1.21980457508677e-06,0.00012276824796342
"Gpal_D383_g00907",45.3446395356062,1.88549716018648,0.483168216820556,3.90236173354659,9.52586545066845e-05,0.0040725182293964
"Gpal_D383_g00940",2432.38967506808,-0.944902842431082,0.124069761422453,-7.61589956809636,2.61861244504935e-14,3.16262918050835e-11
"Gpal_D383_g00956",53.082689153173,2.46482309996738,0.529030283333882,4.65913422655954,3.17542101035695e-06,0.000260007777983635
"Gpal_D383_g01140",386.843488291115,-0.490118048314597,0.155954935142165,-3.14269021283498,0.00167402906733928,0.0331444033783446
"Gpal_D383_g01173",59.1863870929821,2.4166838000616,0.618812202514463,3.90535899298966,9.4085607384942e-05,0.00405828186854156
"Gpal_D383_g01257",95.6670706030787,-2.23453300086379,0.313928919133095,-7.11795844433314,1.09537383274896e-12,7.55964426572891e-10
"Gpal_D383_g01325",942.776348774817,-0.461074586478295,0.136111083715728,-3.38748743960679,0.000705359468283874,0.0181254871876564
"Gpal_D383_g01373",283.971244597612,-0.620506489086636,0.197106198756954,-3.14808206438888,0.00164345547743724,0.0326729770020547
"Gpal_D383_g01446",29.8650833267574,2.90016704023465,0.781222958035142,3.7123423094591,0.000205350001028031,0.00698623841525645
"Gpal_D383_g01492",1157.51517144097,0.690218182808233,0.140782974834502,4.9027105984912,9.45231902544e-07,9.7157772791278e-05
"Gpal_D383_g01517",2010.99981756958,-0.503509953427373,0.124851094538637,-4.03288377477184,5.50965332283441e-05,0.00269326368469867
"Gpal_D383_g01570",74.2826946685764,1.07956935546497,0.357268711399646,3.02172936229323,0.00251335149506421,0.0446397098259383
"Gpal_D383_g01582",16.2937995297217,5.09562117017051,1.48721219651523,3.42629060070267,0.000611885353958028,0.0165140678490013
"Gpal_D383_g01770",51.9917326975275,1.82747383485464,0.465240981912414,3.92801560030814,8.56496564035909e-05,0.00376157718259771
"Gpal_D383_g01790",970.239152136441,-0.604404125647273,0.133203830897365,-4.53743801192153,5.69417600471499e-06,0.000416796428466335
