Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
F31F4.15,391.3514332,0.964555862,1.553343428,0.000452112,0.098090009
H06A10.1,1293.451389,-1.092997111,1.866707957,0.000452715,0.098090009
K06A4.1,171.8876002,1.117467926,1.850934751,0.000431494,0.098090009
Y54G2A.39,296.428196,0.897578256,1.409876454,0.000430753,0.098090009
F07F6.5,422.6903901,-1.059818093,1.806922492,0.000466718,0.098799292
K03A1.6,244.1393604,-0.926862345,1.505811687,0.000464291,0.098799292
R13D7.11,196.4695865,-1.034179166,1.835044244,0.000494355,0.103460725
K08E3.1,2156.681567,-0.894808341,1.538534278,0.000524733,0.1085843
B0222.7,17356.30543,-0.974542979,1.771979319,0.000536359,0.10975692
F53C11.1,414.7707317,0.719279234,1.259884638,0.000553245,0.111968306
F58F6.1,8369.757961,-0.930984679,1.757283867,0.000578537,0.115814259
F46H5.6,781.8271168,-0.813930416,1.467100865,0.000590682,0.116238715
R13H4.2,10649.8672,-0.83411719,1.521727717,0.000599592,0.116238715
Y116F11B.1,205.1651888,0.703568886,1.272079071,0.000598806,0.116238715
C47G2.1,8610.034605,-0.896490408,1.72524547,0.000610452,0.117111428
C26F1.1,1088.241934,-0.81400429,1.522027806,0.000632007,0.118588857
Y11D7A.14,481.5555758,0.6164894,1.151017137,0.000634356,0.118588857
ZK1010.7,13363.6169,-0.854508998,1.642369737,0.000637471,0.118588857
F09B12.6,123.7904012,0.519651888,1.059368903,0.000772482,0.140859347
F17B5.8,57.76824477,0.668149895,1.343560306,0.000769471,0.140859347
F13H8.5,2880.598225,-0.686624552,1.426853462,0.000812615,0.146724848
F25F6.1,69.24910764,0.537202515,1.120566309,0.000832871,0.146882997
F34D10.4,984.8825453,-0.29050643,0.675240577,0.000845393,0.146882997
R02D3.6,129.0422755,-0.586933546,1.224331972,0.000843025,0.146882997
W01C8.4,164.2286062,0.144336104,0.393144329,0.000843509,0.146882997
C44B12.1,2541.785192,-0.703618942,1.559457359,0.000864976,0.148880902
W04G3.12,18.55216813,0.650690618,1.41789177,0.000899237,0.153344887
C42D4.3,1441.43068,-0.578955372,1.253407471,0.000919409,0.155346448
T21B4.3,27.76251954,-0.634883888,1.406455154,0.000933829,0.15634851
F42A10.7,1052.905331,0.582364422,1.293796737,0.000969795,0.160907259
W09G12.8,38.98181486,-0.63338449,1.458735044,0.000982749,0.16160071
K12D12.3,4799.954252,-0.585701977,1.321230703,0.000996551,0.162420228
C02A12.4,1480.796949,-0.445277569,1.025259621,0.001045739,0.168941907
K09C6.9,339.2008041,0.603423659,1.440029582,0.001059214,0.16963088
K08D8.3,271.7969977,0.460399258,1.067923038,0.001075917,0.170820435
B0222.6,50617.95202,-0.569571545,1.368101416,0.001113793,0.173836688
H06A10.2,5643.583501,-0.591999915,1.560992263,0.001110671,0.173836688
F14D7.6,237.5058146,0.369274929,0.897970803,0.001149293,0.177869938
Y82E9BL.14,37.1107637,0.346489204,0.853330276,0.00116086,0.178162985
Y57E12B.1,198.8300649,-0.56430269,1.493682735,0.001194325,0.180294176
Y57E12B.4,805.3154934,-0.538451755,1.327854753,0.001194099,0.180294176
F36A4.6,978.5070461,-0.530833292,1.313267738,0.001209364,0.181080098
B0511.5,775.5972108,0.412051733,1.009926216,0.001221788,0.181465046
F55G11.8,570.8845205,0.376287829,0.936584891,0.00124355,0.183219629
C02D5.1,430.576618,-0.469091497,1.161846115,0.001263614,0.184698242
C10F3.7,348.856181,-0.503503267,1.286160444,0.001303488,0.189026215
E02H4.7,261.5092694,0.395998452,1.016899401,0.001375551,0.197918103
Y40C5A.3,1963.593283,-0.439986409,1.13839628,0.001399761,0.199840331
C15A11.1,1821.132677,-0.445813448,1.180687155,0.001459579,0.205198942
F35C5.9,674.6764948,0.438628322,1.153882862,0.001448441,0.205198942
ZK662.2,984.8848944,-0.447513497,1.194539245,0.001477357,0.206124905
C08F1.5,399.5416679,0.393330147,1.048840953,0.001511537,0.20637091
F15D3.2,547.0825973,-0.452524869,1.234673658,0.001518058,0.20637091
F46C8.2,562.6048525,-0.411498717,1.09828267,0.001510358,0.20637091
T28A11.16,83.10383944,0.377746454,1.011702607,0.001525192,0.20637091
Y37B11A.1,1256.014876,-0.388370077,1.042364528,0.001535148,0.20637091
K10C2.1,9984.759606,0.361078805,0.97437248,0.001546732,0.206421531
F54D5.23,95.29757801,0.311210358,0.85886363,0.001583863,0.209013093
K10H10.4,335.8284689,-0.429839319,1.187220496,0.001588849,0.209013093
Y9C2UA.2,63.39429774,-0.396411662,1.091154535,0.001621595,0.211807952
T05A1.2,20940.78031,-0.368723698,1.023769312,0.001664601,0.215894037
F18E3.11,2801.527712,-0.354171719,0.989535324,0.001688472,0.217458639
C09E8.2,183.575799,-0.416495418,1.208848692,0.001729146,0.220447563
ZK185.4,53.42987106,-0.31240462,0.888859254,0.001735619,0.220447563
C32H11.4,861.8951906,0.422869217,1.284942356,0.001757662,0.221492129
F10C1.9,259.2970467,0.243467163,0.720628011,0.001767896,0.221492129
Y102E9.5,124.2409345,0.094009735,0.34058752,0.001809537,0.225177307
F33E2.4,34.072872,0.2987306,0.871365677,0.00184169,0.227640343
ZK384.2,16.70598978,-0.20705694,0.640032104,0.001863432,0.228792215
C35A5.11,568.1311372,-0.344573339,1.006474838,0.001877466,0.228816379
Y39G8B.10,55.71125749,0.301901154,0.887621874,0.001888477,0.228816379
ZC487.4,962.5798095,-0.353463524,1.043664515,0.001914493,0.230452433
Y102A5B.3,34.89774894,0.276317916,0.826491613,0.001936088,0.231165581
Y71F9AM.8,2583.943449,-0.275260761,0.825021572,0.001945521,0.231165581
K07H8.6,61747.29694,-0.381910734,1.190340575,0.001982665,0.234068807
C13D9.9,66.18481489,0.199841498,0.639319733,0.002057606,0.241369017
ZK1320.3,2876.199056,0.258351673,0.797159656,0.002077521,0.242162701
C33G8.2,224.4283616,0.237830509,0.750525514,0.002156378,0.243644268
F48B9.5,134.6954729,-0.311851319,0.960249387,0.002131503,0.243644268
T20D4.6,357.5785608,0.125244407,0.443761372,0.002132068,0.243644268
T20D4.9,21.86769357,0.217331157,0.692599803,0.002131871,0.243644268
Y41D4B.16,1536.494113,0.267943547,0.832530036,0.002145118,0.243644268
Y53F4B.25,133.2559206,-0.344129483,1.088402642,0.002175491,0.244305018
F55G11.5,314.4580511,0.347413673,1.116629976,0.002204775,0.246093012
F32H5.1,589.6258164,0.172895291,0.582342582,0.002251439,0.248291882
Y57E12B.11,134.561139,-0.325341065,1.033615219,0.002249838,0.248291882
F01D5.1,892.6433804,0.266130633,0.847396317,0.002294516,0.248577083
F59F5.1,170.3535266,0.296600613,0.940314814,0.002285866,0.248577083
M60.2,2810.553323,0.279426958,0.887007276,0.002291326,0.248577083
C42D4.13,156.6849121,-0.300730664,0.966907688,0.002352913,0.25193958
T13B5.4,24337.71027,-0.339744422,1.166490431,0.002345983,0.25193958
K08D9.6,90.19184413,-0.30265483,0.978898233,0.00237809,0.253163483
C29E6.4,52.84091809,-0.18801203,0.644304486,0.002520578,0.255063125
F54B11.2,2627.962802,-0.319353469,1.104241961,0.002519394,0.255063125
H10E21.4,1082.884541,-0.28469252,0.941471365,0.002519582,0.255063125
K09F5.2,26182.75581,-0.314980236,1.045595521,0.002444836,0.255063125
T10E10.2,31511.3297,-0.283725058,0.936019839,0.002508191,0.255063125
T21D9.1,1079.31764,-0.284771394,0.934884805,0.002480624,0.255063125
T24E12.5,74.76644436,0.233896954,0.773803526,0.002478163,0.255063125
Y47D3B.3,143.9714508,-0.298046171,0.972063819,0.00242643,0.255063125
Y70D2A.1,575.3856261,-0.234627579,0.773997359,0.002459499,0.255063125
ZK6.11,5725.622735,0.29432011,0.986841295,0.002563724,0.258011549
Y77E11A.15,6958.638029,-0.293093244,0.989636939,0.002598607,0.260100832
C06E2.8,30.22632007,0.293603389,1.037717885,0.002760027,0.274764451
F09B12.3,4842.991843,0.19131224,0.678998575,0.002856459,0.281323036
F59D12.4,74.35689703,0.165621419,0.600455327,0.002848884,0.281323036
K01D12.5,378.3809628,-0.21982343,0.772650154,0.002904941,0.282074835
M02H5.3,84.5845384,0.162534505,0.596515694,0.002940673,0.282074835
T05H10.3,1634.261637,-0.257246588,0.906223449,0.002926657,0.282074835
T21H3.5,27.39018073,-0.127995682,0.489852445,0.002923638,0.282074835
W01A8.6,717.6397851,-0.221100065,0.778887526,0.002926694,0.282074835
F56H6.1,12.14636367,-0.279567455,1.119313356,0.002966069,0.283036714
Y39B6A.10,67.66506257,-0.267585945,0.963232249,0.002996185,0.284436755
B0222.4,109.3538017,0.125298742,0.485869162,0.003024864,0.285686754
T05A10.5,522.4513114,-0.242595646,0.871398833,0.003080617,0.289467968
F11D5.5,12.15957266,0.252596384,0.916933537,0.003113861,0.291106505
F26D2.3,12.34448949,0.199162136,0.724838682,0.003132789,0.291396865
F07H5.13,134.6274202,0.135721758,0.526633379,0.003206824,0.296784321
T01D3.6,3499.194977,0.232053713,0.860356532,0.003318387,0.305573679
F22E10.3,810.3838491,0.169017471,0.640511506,0.003342936,0.305691547
T07H6.3,30000.74818,-0.21911509,0.813880856,0.003352864,0.305691547
D1086.11,427.0681041,-0.212614802,0.795790052,0.003415899,0.309904536
Y32F6A.4,940.884691,0.129228041,0.515782819,0.003441732,0.310717535
ZK6.10,5047.05823,0.191058748,0.729261067,0.003555665,0.319437472
F22A3.1,955.8122307,0.072096079,0.328604151,0.003661418,0.324382804
F59D8.1,46129.33231,-0.237842305,0.940487882,0.00362845,0.324382804
ZC416.6,1367.318074,0.194199385,0.748800231,0.003663551,0.324382804
F18E2.1,543.1259983,0.13677069,0.55201938,0.003710713,0.325636983
K02D7.3,3446.884068,-0.175275055,0.684066806,0.003713078,0.325636983
C27H5.5,10074.42947,-0.209071974,0.825264752,0.003853982,0.33425224
C34H4.2,647.5997408,0.14692731,0.59350151,0.003865137,0.33425224
Y40D12A.2,1240.167906,0.075051532,0.344146319,0.00388391,0.33425224
Y9C9A.8,57.71709561,0.168405612,0.669749476,0.003881515,0.33425224
F35C5.10,244.5760308,-0.225414363,0.925414144,0.003921736,0.335937768
C17H12.6,104.4101775,0.155812058,0.629217467,0.003961461,0.336725671
Y39B6A.27,34.64866277,0.192243938,0.765253531,0.003967501,0.336725671
C12D5.4,18.27993989,0.180697681,0.722767409,0.004003837,0.338250803
F52D1.3,961.1790799,-0.185258443,0.74578371,0.004077666,0.342914919
B0513.4,510.587409,-0.176193053,0.718732241,0.004205272,0.349183437
C17C3.19,37.14195281,-0.113548629,0.488930587,0.004174151,0.349183437
K08D12.4,180.3370151,0.078487277,0.364183105,0.004228045,0.349183437
W02B12.1,643.0386869,0.115498418,0.497306772,0.004219393,0.349183437
D2023.7,7715.035124,-0.188220846,0.773675744,0.004277317,0.351675679
B0024.2,3082.325162,-0.160114485,0.667260564,0.004392049,0.353744322
C06B8.1,18.59223159,0.152209451,0.643391648,0.004520284,0.353744322
C12C8.2,835.1620728,0.107899518,0.479088261,0.004518708,0.353744322
C23H5.9,4942.910969,-0.179462413,0.745604343,0.004402132,0.353744322
C42D8.2,65898.1153,-0.197450358,0.850527717,0.004552175,0.353744322
F10D7.3,493.2497989,0.114363367,0.501113673,0.004467019,0.353744322
F13A7.10,7.86626649,0.160823734,0.677833098,0.004537328,0.353744322
F47C10.3,10.96177324,0.112791695,0.491598291,0.004344299,0.353744322
F56C4.1,21.59421728,-0.063793878,0.313184763,0.004465214,0.353744322
F59D8.2,47959.73947,-0.204580253,0.872277499,0.004389953,0.353744322
R10D12.15,96.55186517,0.190895922,0.806727826,0.004501869,0.353744322
T09B4.8,2176.168021,0.091323025,0.414406632,0.004363328,0.353744322
Y95B8A.1,289.3676621,-0.173712331,0.726858151,0.004481474,0.353744322
F41C6.5,895.2923679,-0.169505898,0.723461574,0.004703154,0.363941112
C32H11.11,178.8098466,-0.182915631,0.792231848,0.004774447,0.367912089
Y82E9BL.11,23.99304136,0.175845724,0.760194816,0.004815179,0.369504793
K01H12.3,34.38914022,-0.148523974,0.646973301,0.004902614,0.371747995
W06D12.3,1208.945829,-0.135863847,0.595968566,0.004880747,0.371747995
ZC513.2,47.08973691,-0.168270126,0.73120359,0.004904966,0.371747995
B0496.5,21.20041408,-0.124461077,0.555014669,0.004965926,0.373295716
F26F12.1,19926.95845,-0.157509946,0.686738301,0.004953157,0.373295716
F02D10.1,19090.30242,-0.17987153,0.812679902,0.005126909,0.380735006
Y110A2AL.2,20.01126405,-0.16500664,0.729246861,0.005104129,0.380735006
Y73B3A.12,485.6839527,-0.186021464,0.88925838,0.005110334,0.380735006
T14A8.2,4806.621712,-0.126185257,0.567997201,0.005150076,0.380919483
F48E8.1,2189.886685,0.1286052,0.580569419,0.005235453,0.385598852
F55E10.6,335.6163787,0.07772713,0.381790161,0.005255216,0.385598852
F37B1.3,21.38084447,0.132730809,0.59972885,0.005304667,0.387682726
C48D5.1,177.8173455,-0.050567127,0.275338279,0.005601274,0.392238277
C49A9.1,46.89245317,0.070030153,0.356814739,0.005600295,0.392238277
F15E11.12,2138.144569,-0.150415972,0.684128584,0.005496934,0.392238277
F21F8.6,40.6616708,0.126064102,0.57897545,0.005485384,0.392238277
F53A9.10,20369.0293,-0.128173624,0.586287829,0.005447153,0.392238277
K02E10.7,136.7062017,0.075989595,0.381013262,0.005597667,0.392238277
K08C9.4,2201.607382,-0.151386518,0.691052234,0.005542206,0.392238277
R10H10.3,2003.971234,0.126764462,0.579306125,0.005411706,0.392238277
T10E10.5,21610.5964,-0.14212534,0.649677853,0.005557439,0.392238277
T26F2.1,92.19261735,0.162908693,0.747293315,0.005512083,0.392238277
ZK813.1,1095.932969,-0.168686364,0.775511127,0.005448801,0.392238277
ZK643.6,273.4617857,-0.097076523,0.466506882,0.00563756,0.393283879
R09A8.9,44.67605508,-0.171656254,0.837273388,0.005663602,0.393364583
Y54E10BL.2,7393.662615,-0.150997234,0.696787094,0.005681434,0.393364583
C09G12.1,9.950884265,-0.150709556,0.701899337,0.005797659,0.394005509
EGAP2.3,1815.344557,0.09417935,0.458317442,0.005792544,0.394005509
F49E2.2,1030.478718,0.021129609,0.137891587,0.005754833,0.394005509
R06C1.4,6784.288246,0.116597219,0.548907774,0.005763046,0.394005509
Y51A2D.4,889.043956,0.125855769,0.587772114,0.005769043,0.394005509
Y14H12A.1,120.8705781,0.099375934,0.482644651,0.005932705,0.401700815
R102.4,1163.072933,0.03900071,0.227669455,0.005977186,0.401758508
ZK1053.4,53.85593528,-0.156199701,0.742656043,0.005956871,0.401758508
C44C1.5,610.4396752,0.072964597,0.375561237,0.006013255,0.402713176
K09E2.3,1000.048194,0.061697582,0.329134529,0.006082977,0.403262397
T19D12.3,16.38695793,0.093423246,0.461571762,0.006087145,0.403262397
Y43F8C.1,382.9927097,0.092710153,0.458403283,0.006076664,0.403262397
T05B4.9,7.823948142,0.139510972,0.666959201,0.006207345,0.408288099
T24D1.1,2258.067443,-0.027132082,0.171927572,0.006188282,0.408288099
C05D2.4,666.7824504,0.024622353,0.159803947,0.006319889,0.409345887
F08B4.4,20.75945544,-0.095056381,0.473653405,0.006334559,0.409345887
F25E5.8,1265.295781,-0.087295673,0.440569554,0.006310784,0.409345887
F53H4.3,326.5531245,-0.112597529,0.546050286,0.006250508,0.409345887
R09H10.5,6091.994119,0.064482731,0.344404319,0.006329031,0.409345887
F54D5.8,3195.900204,-0.013497903,0.096638164,0.006363011,0.409746746
C08F11.8,3102.964164,0.050062677,0.282178675,0.006404183,0.410961122
F17B5.4,61.56036024,-0.128969218,0.626784732,0.006471818,0.411005096
K10H10.5,41.82780585,-0.123191402,0.599479102,0.006464262,0.411005096
Y55F3AM.14,703.7215148,-0.119636331,0.582232507,0.006430252,0.411005096
B0222.8,50554.359,-0.130535009,0.638795655,0.006584817,0.41188112
C15C7.7,465.0888824,0.038141741,0.229021559,0.006597433,0.41188112
C33H5.9,839.7998769,0.018228671,0.12584985,0.006518853,0.41188112
F47F6.5,219.7805474,-0.138599921,0.679185023,0.006555753,0.41188112
Y51A2D.5,867.0785155,0.103473297,0.514108513,0.006536571,0.41188112
ZK1290.3,13769.5949,-0.129936262,0.639766687,0.00668341,0.415839063
F58F6.2,45.48870206,-0.130398987,0.643663531,0.006721768,0.416817501
C04F6.1,47638.47011,-0.144791853,0.729839646,0.006751185,0.417236846
K04E7.1,10.1087831,0.057957827,0.322369931,0.006841693,0.420011521
W02H3.1,43.79681604,0.07183832,0.383312768,0.006830431,0.420011521
T10E10.6,21262.78888,-0.119771043,0.598775924,0.006930721,0.424063429
D1025.2,399.1843973,0.097847783,0.500784796,0.007035443,0.429045539
T24C12.4,98.02967215,-0.133976154,0.679446006,0.007073311,0.42993122
F43C1.4,265.1762504,0.015077397,0.109575569,0.007104099,0.430382208
C41G6.8,28.57546975,-0.080636227,0.428409109,0.007247168,0.43644977
R12C12.1,3635.626898,0.035302336,0.220291712,0.00725165,0.43644977
F16F9.2,940.5342762,0.085655264,0.452283392,0.007336603,0.440124494
Y54G2A.29,779.9441107,-0.049758383,0.291084925,0.007418028,0.44356437
C17C3.15,143.4472088,-0.097531597,0.509842262,0.007523608,0.444762002
F46C3.2,51.39342092,0.035212307,0.221864632,0.007534655,0.444762002
R10D12.7,11.03708862,0.072704558,0.396845675,0.007502634,0.444762002
T05D4.4,1043.615542,0.053540316,0.309699096,0.007518474,0.444762002
ZK1193.1,11468.82307,-0.132079797,0.696182091,0.007571508,0.445509451
Y47D7A.16,177.4447195,0.027177207,0.181022418,0.007634009,0.447756518
K09C4.4,30.45015949,0.132692418,0.720735907,0.007790036,0.452583911
