Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
C54F6.15,1726.406751,10.83732464,1.441074741,1.58573E-17,4.20033E-15
ZK1025.9,85.1834021,-5.277104292,0.648587141,1.89624E-17,4.95844E-15
F11G11.10,16352.38557,-8.557289626,1.113255933,2.65358E-17,6.85093E-15
F43H9.2,869.4412185,-4.076343268,0.494931668,2.85443E-17,7.22025E-15
K04A8.8,759.8575806,7.213248458,0.920749275,2.86743E-17,7.22025E-15
C15C8.3,7178.090397,-5.854508087,0.732984414,3.34768E-17,8.32675E-15
F36H1.5,231.4205739,-4.596718258,0.564615965,3.84811E-17,9.45614E-15
C06G3.3,2709.784784,6.443951255,0.825194277,7.42789E-17,1.80356E-14
K02E11.10,2883.181557,-9.573687237,1.289671209,8.04075E-17,1.9294E-14
K01D12.9,646.663406,-8.07272548,1.065452025,9.57544E-17,2.27094E-14
Y102E9.5,124.2409345,-3.334145679,0.411302533,1.0856E-16,2.54504E-14
T01B7.7,3989.560129,-7.720269788,1.019943898,1.40105E-16,3.24724E-14
Y26G10.7,750.4987084,7.607862222,1.005918343,1.62974E-16,3.73486E-14
ZK678.5,1404.151474,-6.761941249,0.887724516,2.41021E-16,5.46206E-14
T17A3.8,101.6650267,-3.536339263,0.445543204,4.29197E-16,9.61967E-14
R11H6.1,4155.06562,-2.880332328,0.367942842,6.59053E-16,1.46109E-13
F58G6.3,257.2355536,-6.535648091,0.874025681,8.78729E-16,1.92716E-13
F58G6.9,446.5066808,-5.093529213,0.664823453,1.04144E-15,2.2597E-13
C18H7.1,2667.863126,6.070996857,0.810138508,1.26737E-15,2.72098E-13
K04C2.3,2490.969839,3.777177641,0.485223608,1.33054E-15,2.82684E-13
C31B8.2,104.0900709,5.667649873,0.755913882,1.91822E-15,4.0334E-13
Y51A2A.12,221.971134,8.092432412,1.13015295,2.05739E-15,4.28189E-13
K04A8.18,170.4706424,5.955944576,0.800187208,2.10674E-15,4.34032E-13
W09C5.4,159.2604475,-4.959880946,0.655259442,2.46014E-15,5.0177E-13
F08H9.8,179.9638381,-4.638019533,0.611073682,2.96772E-15,5.93428E-13
F37B1.4,493.9026889,4.307891837,0.564434932,2.96033E-15,5.93428E-13
C30G7.1,7060.795229,5.883174856,0.79553216,3.27264E-15,6.48046E-13
Y42H9B.1,542.8945469,-6.698117806,0.924280789,4.1644E-15,8.16704E-13
Y60C6A.2,1273.90912,7.049629682,0.980922912,4.56019E-15,8.85806E-13
ZK180.6,4945.334345,-6.713360129,0.932519062,5.81188E-15,1.11829E-12
F28A12.4,2445.332682,-5.125227156,0.690349725,6.16957E-15,1.17602E-12
F11G11.12,22669.86702,-8.009475083,1.15956965,1.33231E-14,2.5161E-12
K02C4.2,894.4113832,5.486914081,0.75786101,1.61348E-14,3.01913E-12
C03H5.1,397.8462134,-5.265006614,0.725529728,1.83191E-14,3.39669E-12
F13B6.3,809.6281883,-6.615109793,0.9400277,2.0652E-14,3.76088E-12
Y65B4BR.6,7238.487967,-8.105636836,1.186598319,2.06139E-14,3.76088E-12
Y19D10A.10,82.73259577,4.578297188,0.625080547,2.34205E-14,4.2273E-12
F45E4.7,77.49751788,-4.514183295,0.617165566,2.68768E-14,4.80859E-12
T08G5.15,255.4047602,5.168974077,0.717144525,2.92431E-14,5.14174E-12
Y6E2A.4,1226.879893,5.324564232,0.74118507,2.92208E-14,5.14174E-12
C38C3.4,908.770288,3.396075903,0.460833926,3.31738E-14,5.78302E-12
F27C1.8,17227.97008,-6.483163323,0.928077597,3.41329E-14,5.8502E-12
R09D1.1,586.6940186,7.512164898,1.098158566,3.38489E-14,5.8502E-12
K04F1.15,582.9269813,7.481127176,1.093505964,3.4699E-14,5.89767E-12
C02E7.1,867.1689813,7.319762823,1.06783756,3.69705E-14,6.20046E-12
F18F11.4,126.063429,-6.891269478,0.996601898,3.70884E-14,6.20046E-12
K08E7.5,644.2351252,-6.4215505,0.920279019,3.8452E-14,6.37615E-12
F08A8.2,1550.047953,-7.233703042,1.055859446,4.12479E-14,6.78461E-12
C16C4.6,294.228492,6.351801576,0.91089709,4.27757E-14,6.94204E-12
ZK899.2,791.5654403,-3.154056149,0.430987449,4.28857E-14,6.94204E-12
Y62F5A.9,96.97786246,-3.026163263,0.415499483,4.89065E-14,7.85431E-12
K08B12.2,7962.215787,2.652153107,0.369680202,5.89146E-14,9.38767E-12
Y39A1A.1,878.078548,1.301381514,0.179480672,6.87706E-14,1.08732E-11
C39E9.4,90.86480842,-5.174029262,0.731326612,7.61119E-14,1.19414E-11
F53F1.4,25262.21991,-8.103062301,1.221987148,7.98508E-14,1.24323E-11
Y32B12B.1,181.1697002,5.915757835,0.85253503,8.71263E-14,1.33715E-11
Y46G5A.21,604.4852321,-2.825850773,0.394457492,8.71939E-14,1.33715E-11
F30B5.1,20694.77908,-7.792860829,1.171037781,9.16259E-14,1.3843E-11
Y7A5A.1,1422.615327,-3.821484654,0.529241095,9.15484E-14,1.3843E-11
C50D2.1,284.8756209,-5.338900084,0.761780804,1.01645E-13,1.52438E-11
Y71A12B.8,245.4529918,5.25067103,0.750362824,1.21311E-13,1.80603E-11
F56A4.11,82.48111259,4.380820944,0.61502871,1.23404E-13,1.82387E-11
Y71F9AM.8,2583.943449,6.65737083,0.98297236,1.258E-13,1.84591E-11
T07D10.2,244.1432247,4.803838705,0.680507641,1.27739E-13,1.86097E-11
F01F1.14,461.6870175,2.678745693,0.378968368,1.31903E-13,1.88338E-11
F15H10.1,15957.88995,-6.543571639,0.964654235,1.31504E-13,1.88338E-11
Y41E3.2,20082.23029,-7.188594249,1.074958993,1.32047E-13,1.88338E-11
ZK1320.2,2957.536263,-4.785710968,0.678806183,1.38881E-13,1.96709E-11
