Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
ZK1037.3,5.393578568,0.686452723,0.832539955,0.115900702,0.305428665
ZK1037.4,308.2196426,6.830221647,1.013709386,5.35349E-13,1.04965E-10
ZK1037.5,0.861578621,-0.157833229,0.875678444,0.684695186,
ZK1037.6,56.6412755,-1.377983441,0.88080243,0.008507685,0.049206575
ZK1037.8,8.025264561,1.06734358,0.993417396,0.038268119,0.146082098
ZK1037.9,6.752530901,0.380074922,0.64847689,0.307450384,0.547882848
ZK105.1,574.0223469,-0.155812392,0.613455005,0.658547463,0.818895151
ZK105.11,11.62901975,0.416855275,0.55558749,0.239789745,0.474074813
ZK105.12,14.17516735,-1.224122224,1.050284977,0.02542817,0.109487996
ZK105.13,91.76769708,0.030011238,0.52104894,0.928157891,0.969965494
ZK105.2,3.837581108,-0.754777901,1.171268277,0.131689539,0.331096318
ZK105.3,69.75854622,-0.362787127,0.969484089,0.386060662,0.621544611
ZK105.4,11.8080192,0.954020665,0.670221648,0.024301521,0.106114872
ZK105.5,7.788114491,0.063609108,0.655383214,0.858148672,0.934495755
ZK105.6,28.01953585,-0.021699458,0.513028233,0.94773481,0.977612857
ZK105.8,18.693817,0.441339826,0.665181106,0.24602055,0.482132776
ZK1053.1,4.529068571,-0.776778208,0.810451107,0.078945609,0.238386416
ZK1053.2,280.8801712,-0.385826436,0.942306459,0.355925372,0.595113412
ZK1053.3,38.82657357,-0.053682473,0.495155877,0.869583223,0.939756034
ZK1053.4,53.85593528,-0.232596531,0.836851112,0.54989277,0.748268728
ZK1053.5,42.25826482,0.182250432,0.385868238,0.531269878,0.734065655
ZK1053.6,61.23230984,-0.33409678,1.004528504,0.425198797,0.65548067
ZK1053.7,0.606133834,-0.147757647,0.925115482,0.707402664,
ZK1055.1,1727.362868,-0.247704968,0.591571382,0.483077101,0.699823176
ZK1055.2,36.21700745,0.332735272,0.473115954,0.309008517,0.549392596
