Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
F55G1.7,128.0495773,3.443714606,0.562638102,2.94392E-11,3.36817E-09
T21D9.1,1079.31764,7.745552764,1.282292164,3.036E-11,3.44012E-09
C05E4.3,315.3825816,3.586044176,0.592702793,3.28249E-11,3.69887E-09
C14B9.1,1082.032578,-3.344419205,0.545593671,3.49942E-11,3.92165E-09
Y43F8B.5,210.3744112,5.463359211,0.949656565,4.02788E-11,4.48922E-09
F23D12.11,1605.102956,3.900234373,0.661326672,4.27635E-11,4.74024E-09
H14N18.2,206.3240142,4.826444715,0.845915479,4.79408E-11,5.28541E-09
F43H9.2,869.4412185,-3.042518715,0.492086116,4.89188E-11,5.36424E-09
C03H5.4,71.62369781,5.645144474,0.985237821,5.12823E-11,5.59334E-09
K12D12.3,4799.954252,7.499471091,1.264929999,5.31888E-11,5.77041E-09
C06H5.13,771.8904284,8.048495077,1.352354478,5.3854E-11,5.79002E-09
C17C3.3,232.3677767,5.097251162,0.896947898,5.39372E-11,5.79002E-09
D2024.7,550.0995228,3.195763764,0.5228538,5.47481E-11,5.8463E-09
Y65B4BR.6,7238.487967,-7.066334776,1.207710463,6.78397E-11,7.20656E-09
C44F1.1,1041.987532,3.125593521,0.512569639,6.97231E-11,7.36825E-09
W02B8.3,81.32262751,-6.269780892,1.094179146,7.97336E-11,8.38271E-09
K04G11.2,2034.000573,3.536413087,0.5979061,8.45526E-11,8.84377E-09
F54B8.3,1108.036135,5.236151899,0.935447489,9.16908E-11,9.54146E-09
W01B6.7,28296.38776,8.865776973,1.518440574,1.01608E-10,1.05198E-08
T08G5.15,255.4047602,4.289747665,0.759734237,1.02953E-10,1.06052E-08
C08H9.6,353.4994988,5.829946688,1.037561389,1.09533E-10,1.11702E-08
F49F1.5,213.7938199,-5.761308221,1.026654001,1.09082E-10,1.11702E-08
F36H1.5,231.4205739,-3.281405439,0.550048131,1.11177E-10,1.12814E-08
ZK1025.9,85.1834021,-3.63496535,0.623795897,1.14763E-10,1.15876E-08
C12D8.4,1165.36979,7.154332257,1.242782617,1.20058E-10,1.20626E-08
C01B12.1,6630.365289,-6.655869063,1.170226016,1.32188E-10,1.32162E-08
Y39A1A.1,878.078548,1.103061769,0.187277924,1.39117E-10,1.38412E-08
C29E4.7,621.5713801,-3.351192128,0.569680396,1.56752E-10,1.552E-08
Y43F8A.3,919.1336583,3.122679202,0.523742004,1.60954E-10,1.58591E-08
F13B6.3,809.6281883,-5.396070227,0.984851262,1.91195E-10,1.87481E-08
R03H10.1,556.6343121,4.287027694,0.773742666,1.92648E-10,1.88002E-08
C06H5.11,398.6241105,6.924092323,1.226551547,1.96058E-10,1.90419E-08
T09F5.2,77.46767281,6.493207521,1.160537144,1.97864E-10,1.91262E-08
K04F1.15,582.9269813,6.387426699,1.145147713,2.02512E-10,1.94832E-08
F12A10.9,244.570402,5.942730482,1.076267835,2.03952E-10,1.95122E-08
R12E2.14,3687.740743,-7.081767289,1.252851869,2.04727E-10,1.95122E-08
C41C4.7,2029.284348,2.254171768,0.36832932,2.12451E-10,2.00608E-08
F57A8.8,642.3871534,6.416938078,1.151392114,2.11875E-10,2.00608E-08
ZK355.8,991.1585042,6.36662878,1.14512131,2.20415E-10,2.0717E-08
C49G7.4,874.4990772,-4.69151854,0.863529955,2.51435E-10,2.35242E-08
Y55F3C.3,1826.108117,2.569798686,0.425190168,2.5696E-10,2.39313E-08
K11D12.8,327.2419612,3.752247887,0.66445028,2.58667E-10,2.39808E-08
C27B7.9,2497.826623,7.400537074,1.313784176,2.61628E-10,2.41456E-08
F47B8.18,2109.626168,9.411383304,1.67116696,2.76645E-10,2.54165E-08
T10B10.6,200.8593183,-3.325959883,0.574339199,2.86387E-10,2.61935E-08
Y7A5A.1,1422.615327,-3.100986533,0.528052651,2.88831E-10,2.62991E-08
R09D1.3,342.2422165,5.619090443,1.039025502,3.15595E-10,2.84817E-08
Y9C9A.16,502.6477928,5.368338426,0.996142275,3.1427E-10,2.84817E-08
Y46G5A.21,604.4852321,-2.310629693,0.382558618,3.35458E-10,3.01409E-08
C52E2.2,220.5103412,7.759222211,1.384506778,3.40473E-10,3.04574E-08
ZC410.5,10619.78152,4.203278265,0.769970242,3.45816E-10,3.08003E-08
F08H9.4,808.0524505,5.23621238,0.977635297,3.64586E-10,3.23308E-08
F22F4.1,619.1792824,-4.284668733,0.789922823,3.79139E-10,3.34759E-08
B0304.6,193.1845512,5.675941392,1.055466822,3.84586E-10,3.38104E-08
F20A1.6,4286.747185,6.060559008,1.119205316,3.95221E-10,3.45962E-08
F21H7.10,20.79506405,-6.531545557,1.201300918,4.74983E-10,4.14007E-08
F08A8.2,1550.047953,-5.969082419,1.112313093,4.85346E-10,4.21239E-08
